iter	Passed	Remaining
0	9	933
1	19	940
2	28	917
3	37	910
4	47	893
5	54	853
6	62	834
7	71	825
8	80	812
9	88	793
10	97	790
11	107	791
12	116	782
13	124	767
14	133	754
15	141	741
16	149	728
17	157	716
18	166	710
19	174	698
20	182	687
21	191	678
22	199	666
23	207	658
24	215	646
25	224	638
26	234	632
27	241	621
28	250	614
29	259	605
30	267	596
31	276	588
32	284	578
33	292	567
34	302	561
35	311	554
36	319	543
37	327	533
38	336	526
39	345	518
40	354	510
41	362	500
42	369	490
43	378	481
44	385	471
45	393	462
46	403	454
47	416	451
48	424	441
49	433	433
50	441	424
51	449	415
52	458	406
53	468	398
54	476	390
55	484	380
56	492	371
57	501	362
58	509	354
59	518	345
60	528	337
61	538	330
62	548	322
63	556	313
64	566	304
65	573	295
66	582	286
67	589	277
68	597	268
69	605	259
70	612	250
71	620	241
72	629	232
73	638	224
74	647	215
75	654	206
76	663	198
77	671	189
78	679	180
79	687	171
80	694	162
81	703	154
82	711	145
83	720	137
84	729	128
85	739	120
86	747	111
87	755	103
88	763	94
89	774	86
90	782	77
91	789	68
92	797	60
93	804	51
94	812	42
95	820	34
96	828	25
97	837	17
98	844	8
99	855	0
